Article Name,Article Link,Site Name,Type
"Roger Williams said """"The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",https://www.politifact.com/factchecks/2022/jan/18/roger-williams/williams-accurate-there-were-more-covid-19-deaths-/,PolitiFact,Real
"Jen Psaki on a whitehouse briefing said “You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/,PolitiFact,Real
"Kathryn Moffett Bradford WVU on a faculty meeting “If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",https://www.politifact.com/factchecks/2021/oct/05/kathryn-moffett-bradford/are-90-95-those-hospitalized-covid-19-unvaccinated/,politiFact,Real
A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,https://www.politifact.com/factchecks/2021/aug/20/viral-image/photo-real-it-shows-sick-covid-19-patients-floor-f/,politiFact,Real
Greg Abbott in an interview “We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,https://www.politifact.com/factchecks/2021/may/21/greg-abbott/job-openings-texas-match-number-people-unemploymen/,politiFact,Real
"Gordon Hintz in TV interview “We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",https://www.politifact.com/factchecks/2021/feb/12/gordon-hintz/wisconsin-assembly-minority-leader-right-relations/,politiFact,Real
Kirk cox said Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,https://www.politifact.com/factchecks/2021/jan/20/kirk-cox/virginia-among-slowest-states-vaccine-rollout-cox-/,,
"Pat Toomey “In my state, as in many other states, we have governors who are closing down businesses again.”",https://www.politifact.com/factchecks/2020/dec/30/pat-toomey/fact-checking-sen-pat-toomeys-comment-pa-gov-tom-w/,,
"COVID-19 is a disease caused by a virus. The most common symptoms are fever, chills, and sore throat, but there are a range of others.",https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),WHO int.,fact
Most people make a full recovery without needing hospital treatment. People with severe symptoms should seek medical care as soon as possible.,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),WHO int.,fact
"Over 760 million cases and 6.9 million deaths have been recorded worldwide since December 2019, but the actual number is thought to be higher.",https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),WHO int.,fact
Over 13 billion vaccine doses have been administered as of June 2023.,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),WHO int.,fact
"COVID-19 vaccines provide strong protection against severe illness and death. Although a person can still get COVID-19 after vaccination, they are more likely to have mild or no symptoms.",https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),WHO int.,fact
"It is important to look at all aspects of the pandemic in order to identify any lessons
to be learned. Kersti Fjørstad serves as Board member for the European region of the International Association for Court Administration and as Board member of the International Institute for Justice Excellence.",https://www.unodc.org/unodc/en/covid-19-opinion-pieces.html,UNODC.org,Opinion
"There is the need to create demand for a nex generation of justice sector strategies, which fully reflect the implications of the pandemic on justice reforms
and justice delivery. Beatrice Duncan is a Policy Advisor at the United Nations Entity for Gender Equality and the Empowerment of Women (UN Women) on the topic of access to justice",https://www.unodc.org/unodc/en/covid-19-opinion-pieces.html,UNODC.org,Opinion
"Despite the pandemic, the School managed to maintain its pedagogical approach, aimed at empowering trainees while developing their new judicial
identity. Tommy Birambeau, Delphine Verheyde and Stéphane Fischesser are attendees of the French National School for the Judiciary. ",https://www.unodc.org/unodc/en/covid-19-opinion-pieces.html,UNODC.org,Opinion
"The judiciary will now need to play a proactive role in directly engaging with the public on these COVID-19 protocols constantly, to educate and keep them
informed."" Judge Zainun Ali is a federal court judge in Malaysia.",https://www.unodc.org/unodc/en/covid-19-opinion-pieces.html,UNODC.org,Opinion
"March 6, 2020As the virus spread and millions of people were infected, Musk tweeted, “the coronavirus panic is dumb.”",https://www.forbes.com/sites/anafaguy/2023/07/26/elon-musk-s-increasing-skepticism-of-covid-19-and-vaccines-a-timeline/,Forbs,Opinion
"September 28, 2020During an interview with the New York Times, Musk said he wouldn’t take a Covid-19 vaccine once it became available and stressed the low mortality rate despite the virus killing millions of people—more than a year later he said he and his eligible children got the jab.",https://www.forbes.com/sites/anafaguy/2023/07/26/elon-musk-s-increasing-skepticism-of-covid-19-and-vaccines-a-timeline/,Forbs,Opinion
